shader_key	source_file	function_context	line
BlurMedium	app/view/nodes/GlowSprite.js	if	789
BlurMedium	app/view/nodes/GlowSprite.js	if	891
BlurStrong	app/view/nodes/GlowSprite.js	if	787
BlurStrong	app/view/nodes/GlowSprite.js	if	889
BlurWeak	app/view/nodes/GlowSprite.js	if	791
BlurWeak	app/view/nodes/GlowSprite.js	if	893
Chromatic	app/view/nodes/GlowSprite.js	drawPrismatic	929
Colorize	app/view/nodes/cards/CardNode.js	if	2610
CoreGem	app/view/nodes/gem/CoreGemSprite.js	ctor	36
CoreGemEdgesAndColorizeFragment	app/view/nodes/gem/CoreGemSprite.js	createHighlightsEdgesComponent	100
Depth	app/view/nodes/BaseSprite.js	drawDepth	1204
DepthTest	app/view/nodes/BaseParticleSystem.js	if	1724
DepthTest	app/view/nodes/BaseSprite.js	drawDepthTested	1182
Dissolve	app/view/nodes/BaseSprite.js	createDissolvingComponent	593
Glow	app/view/nodes/GlowSprite.js	if	766
GlowNoise	app/view/nodes/GlowSprite.js	unknown	821
Highlight	app/view/nodes/GlowSprite.js	if	860
LensNoise	app/view/nodes/fx/LensNoiseSprite.js	rendering	56
Levels	app/view/nodes/BaseSprite.js	createLeveledComponent	650
Lighting	app/view/nodes/BaseSprite.js	if	1274
Mask	app/view/nodes/BaseSprite.js	createMaskComponent	298
Monochrome	app/view/nodes/cards/BottomDeckCardNode.js	if	666
Monochrome	app/view/nodes/cards/BottomDeckCardNode.js	if	670
Monochrome	app/view/nodes/cards/EntityNode.js	_showDeemphasis	1812
Monochrome	app/view/nodes/cards/ReplaceNode.js	_showDeemphasis	225
Monochrome	app/view/nodes/cards/ReplaceNode.js	_showDeemphasis	226
Monochrome	app/view/nodes/cards/ReplaceNode.js	_showDeemphasis	227
Monochrome	app/view/nodes/cards/ReplaceNode.js	_showDeemphasis	228
Monochrome	app/view/nodes/cards/ReplaceNode.js	_showDeemphasis	229
Monochrome	app/view/nodes/cards/SignatureCardNode.js	if	409
Monochrome	app/view/nodes/cards/SignatureCardNode.js	if	413
MultipliedLighting	app/view/nodes/BaseSprite.js	drawComposite	1023
ShadowHighQuality	app/view/nodes/BaseSprite.js	if	1299
ShadowLowQuality	app/view/nodes/BaseSprite.js	if	1301
Tinting	app/view/nodes/BaseSprite.js	createTintingComponent	340
